"""Illinois Dolostone"""
Knobstone Fm
Knollenmergel
Knox Dol
Knoxville series
Knoydart Fm
Koblenz Fm
Kohlenkalk
Kokomo Ls
Kome Fm
Koneprus Ls
Koobi Fora Fm
Kootenai
Kootenai Fm
Kootenay Fm
Kopanina Fm
Kope Fm
Koru Fm
Korycany Fm
Kîssen Fm
Kossener Beds
Kramenzelkalk
Kriz Ls Lens
Ktaoua Fm
Kuanti Fm
Kuantikou Ls
Kuibis Fm
Kulmkalk
Kuonamka Fm
Kupferschiefer
Kurosedani formation
Kushequa Sh
Kutorgina Fm
Kuwajima Fm
Kwagunt Fm
La Amarga
La Cruz Fm
La Dorada Fm
La Matilde Fm
La Paz Fm
La Purisima Fm
La Salle Ls
La Vieille Fm
Labette Sh
Ladore Sh
Lagarcito Fm
Lake Valley Ls
Laketown Dol
Lakota Fm
Lamb Dol
Lameta Fm
Lancaster
Lance Fm
Lance Fm?
Landschnecken-Kalk
Lane Sh
Langston Dol
Langston Fm
Lansing Grp
Laona Ss
Laona Ss?
Lapex Marble
Laramie Fm
Laramie Fm ?
Laramie Fm.
Laramie Fm?
Laramie Fm?/Denver Fm?
Laredo Fm
Larrabee Fm
Latah Fm
Latham Sh
Latonia Sh
Laurel ls
Laurel Ls
LaVieille Fm
LaVieille Ls
Lawrence Fm
Lawrence Fm?
Lawrence Sh
Lawrence Shales
Le Fever Ls
Le Fever Ls?
Lead Bell Sh
Leavenworth Ls
Lebanon Ls
Lebo Fm
Lebo Fm?
Lecompton Fm
Lecompton Ls
Leda Cl.
Leda Clays
Ledyard Sh
Lehman Fm
Leintwardine Fm
Leipers Fm
Lenapah Ls
Lenoir Ls
Lenox Hills Fm
Lenoxhills Fm
Leonard Fm
Leonard Fm?
Leptaenakalk
Letna Fm
lettenkohle
Levis Sh
Lewis Sh
Lexington Coal
Lexington Ls
Lias
Lias alpha
Lias beta
Lias delta
Lias epsilon
Lias Fm
Lias gamma
Lias zeta
Liben Fm
Liberty Fm
Liberty Ls
Lichiachuan Fm
Licking Creek Ls
Lilley Dol
Lilley Fm
Lime Creek fm
Lime Creek Sh
Lime Island Dol
Limeport Fm
Lincolnshire Ls
Lindsay Fm
Ling-cha Fm
Lingle Ls
Lingula Flags fm
Lingula Flags Fm
Lisbon Fm
Lisburne Ls
Liscarroll Fm
Liskeard Fm
Liskeard fm
Liston Creek Fm
Liston Creek Ls
Little Cedar Fm
Little Falls Dol
Little Falls Fm
Little Saline Ls
Littleton Fm
Liverpool Fm
Livingston Fm
Llandeilo flags
Llandovery
Llewellyn
Llewellyn Fm?
Llewellyn Formation
Loanhead No. 2 Ironstone?
Lobster Lake Fm
Lochatong Fm
Lockatong Fm
Lockport Dol
Lockport Dol?
